Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C","C_0402_1005Metric",27.564730,20.267192,90.000000,top
"C2","C","C_0402_1005Metric",37.597730,20.394192,90.000000,top
"C3","C","C_0402_1005Metric",47.630730,20.544192,90.000000,top
"C4","C","C_0402_1005Metric",57.536730,20.440192,90.000000,top
"C5","C","C_0402_1005Metric",67.569730,20.544192,90.000000,top
"C6","C","C_0402_1005Metric",77.602730,20.353692,90.000000,top
"C7","C","C_0402_1005Metric",87.699230,20.290192,90.000000,top
"C8","C","C_0402_1005Metric",97.668730,20.480692,90.000000,top
"C9","C","C_0402_1005Metric",107.574730,20.480692,90.000000,top
"C10","C","C_0402_1005Metric",117.353730,9.812692,0.000000,top
"C11","C","C_0402_1005Metric",104.018730,16.162692,90.000000,top
"C12","C","C_0402_1005Metric",94.049230,16.226192,90.000000,top
"C13","C","C_0402_1005Metric",83.889230,16.226192,90.000000,top
"C14","C","C_0402_1005Metric",74.173730,16.226192,90.000000,top
"C15","C","C_0402_1005Metric",64.013730,16.226192,90.000000,top
"C16","C","C_0402_1005Metric",54.171230,16.226192,90.000000,top
"C17","C","C_0402_1005Metric",44.138230,16.226192,90.000000,top
"C18","C","C_0402_1005Metric",34.168730,16.226192,90.000000,top
"C19","C","C_0402_1005Metric",24.326230,16.226192,90.000000,top
"C20","C","C_0402_1005Metric",14.229730,16.226192,90.000000,top
"C21","C","C_0402_1005Metric",7.181230,9.939692,0.000000,top
"C22","C","C_0402_1005Metric",27.691730,3.526192,270.000000,top
"C23","C","C_0402_1005Metric",37.661230,3.526192,270.000000,top
"C24","C","C_0402_1005Metric",47.821230,3.526192,270.000000,top
"C25","C","C_0402_1005Metric",56.243730,2.192692,0.000000,top
"C26","C","C_0402_1005Metric",67.633230,3.526192,270.000000,top
"C27","C","C_0402_1005Metric",77.729730,3.526192,270.000000,top
"C28","C","C_0402_1005Metric",87.699230,3.526192,270.000000,top
"C29","C","C_0402_1005Metric",97.605230,3.526192,270.000000,top
"C30","C","C_0402_1005Metric",107.765230,3.526192,270.000000,top
"D1","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",23.373730,21.560192,180.000000,top
"D2","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",33.406730,21.560192,180.000000,top
"D3","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",43.439730,21.687192,180.000000,top
"D4","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",53.345730,21.687192,180.000000,top
"D5","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",63.378730,21.687192,180.000000,top
"D6","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",73.411730,21.560192,180.000000,top
"D7","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",83.444730,21.560192,180.000000,top
"D8","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",93.350730,21.560192,180.000000,top
"D9","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",103.383730,21.623692,180.000000,top
"D10","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",118.369730,14.067192,90.000000,top
"D11","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",108.373730,14.130692,0.000000,top
"D12","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",98.367230,14.130692,0.000000,top
"D13","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",88.334230,14.130692,0.000000,top
"D14","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",78.364730,14.130692,0.000000,top
"D15","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",68.268230,14.130692,0.000000,top
"D16","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",58.362230,14.130692,0.000000,top
"D17","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",48.392730,14.130692,0.000000,top
"D18","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",38.359730,14.130692,0.000000,top
"D19","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",28.453730,14.130692,0.000000,top
"D20","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",18.357230,14.130692,0.000000,top
"D21","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",8.324230,14.130692,90.000000,top
"D22","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",23.373730,5.621692,180.000000,top
"D23","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",33.343230,5.621692,180.000000,top
"D24","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",43.312730,5.621692,180.000000,top
"D25","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",53.345730,5.558192,180.000000,top
"D26","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",63.378730,5.621692,180.000000,top
"D27","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",73.411730,5.621692,180.000000,top
"D28","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",83.317730,5.621692,180.000000,top
"D29","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",93.287230,5.621692,180.000000,top
"D30","SK6812","LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm",103.383730,5.621692,180.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",6.355730,23.719192,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",120.909730,23.465192,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",120.909730,4.415192,0.000000,top
